significance, numeric, ci_high, lga_name06, vic_ave, lga_code06, ci_low
"better",20.7,27.4,"Moyne (S)",32.6,25490,15.4
"better",20.3,27.0,"Alpine (S)",32.6,20110,14.9
"better",15.2,22.4,"Ararat (RC)",32.6,20260,10.1
"none",28.7,31.9,"Ballarat (C)",32.6,20570,25.7
"none",34.6,41.9,"Banyule (C)",32.6,20660,27.9
"better",21.3,28.4,"Bass Coast (S)",32.6,20740,15.6
"better",23.8,31.0,"Baw Baw (S)",32.6,20830,17.8
"none",39.8,47.6,"Bayside (C)",32.6,20910,32.5
"better",21.6,28.4,"Benalla (RC)",32.6,21010,16.1
"worse",45.9,53.7,"Boroondara (C)",32.6,21110,38.2
"better",24.9,30.6,"Brimbank (C)",32.6,21180,20.1
"better",16.0,22.4,"Buloke (S)",32.6,21270,11.2
"better",18.5,24.2,"Campaspe (S)",32.6,21370,14.0
"none",33.5,42.1,"Cardinia (S)",32.6,21450,25.9
"none",32.7,37.9,"Casey (C)",32.6,21610,28.0
"better",21.4,27.9,"Central Goldfields (S)",32.6,21670,16.0
"better",23.5,30.9,"Colac-Otway (S)",32.6,21750,17.4
"better",16.5,24.1,"Corangamite (S)",32.6,21830,11.0
"none",40.2,47.9,"Darebin (C)",32.6,21890,32.9
"better",22.4,29.5,"East Gippsland (S)",32.6,22110,16.5
"none",33.6,41.5,"Frankston (C)",32.6,22170,26.5
"better",21.1,27.8,"Gannawarra (S)",32.6,22250,15.6
"none",40.7,48.2,"Glen Eira (C)",32.6,22310,33.6
"better",20.2,27.1,"Glenelg (S)",32.6,22410,14.7
"better",24.9,31.1,"Golden Plains (S)",32.6,22490,19.6
"none",32.0,39.1,"Greater Bendigo (C)",32.6,22620,25.6
"none",26.3,33.7,"Greater Dandenong (C)",32.6,22670,20.0
"none",30.0,35.4,"Greater Geelong (C)",32.6,22750,25.0
"none",26.9,35.1,"Greater Shepparton (C)",32.6,22830,20.0
"better",22.4,28.8,"Hepburn (S)",32.6,22910,17.1
"better",21.3,29.5,"Hindmarsh (S)",32.6,22980,14.9
"worse",42.3,49.8,"Hobsons Bay (C)",32.6,23110,35.1
"none",28.1,35.6,"Horsham (RC)",32.6,23190,21.6
"none",31.2,38.2,"Hume (C)",32.6,23270,24.9
"better",24.7,30.8,"Indigo (S)",32.6,23350,19.4
"none",32.0,39.2,"Kingston (C)",32.6,23430,25.6
"none",39.9,48.0,"Knox (C)",32.6,23670,32.3
"none",32.3,40.1,"Latrobe (C)",32.6,23810,25.4
"better",19.2,26.2,"Loddon (S)",32.6,23940,13.7
"better",24.2,30.7,"Macedon Ranges (S)",32.6,24130,18.7
"none",31.6,39.3,"Manningham (C)",32.6,24210,24.8
"better",19.5,25.4,"Mansfield (S)",32.6,24250,14.6
"none",38.2,45.9,"Maribyrnong (C)",32.6,24330,31.0
"none",33.8,41.5,"Maroondah (C)",32.6,24410,26.9
"worse",52.3,60.6,"Melbourne (C)",32.6,24600,43.8
"none",29.0,36.1,"Melton (S)",32.6,24650,22.9
"better",24.8,30.0,"Mildura (RC)",32.6,24780,20.2
"none",25.3,33.1,"Mitchell (S)",32.6,24850,18.8
"better",23.2,30.3,"Moira (S)",32.6,24900,17.3
"none",33.1,40.4,"Monash (C)",32.6,24970,26.5
"none",29.5,37.7,"Moonee Valley (C)",32.6,25060,22.4
"none",32.1,39.0,"Moorabool (S)",32.6,25150,26.0
"none",38.1,45.2,"Moreland (C)",32.6,25250,31.5
"better",22.8,30.8,"Mornington Peninsula (S)",32.6,25340,16.4
"better",23.2,29.9,"Mount Alexander (S)",32.6,25430,17.6
"better",21.4,27.8,"Murrindindi (S)",32.6,25620,16.2
"none",32.2,39.3,"Nillumbik (S)",32.6,25710,25.8
"better",23.8,30.6,"Northern Grampians (S)",32.6,25810,18.2
"worse",44.7,52.2,"Port Phillip (C)",32.6,25900,37.5
"better",19.3,27.6,"Pyrenees (S)",32.6,25990,13.0
"none",21.3,32.0,"Queenscliffe (B)",32.6,26080,13.5
"none",24.8,32.8,"South Gippsland (S)",32.6,26170,18.2
"better",23.2,29.6,"Southern Grampians (S)",32.6,26260,17.8
"none",35.4,43.7,"Stonnington (C)",32.6,26350,27.9
"none",22.1,31.6,"Strathbogie (S)",32.6,26430,14.9
"none",28.0,34.5,"Surf Coast (S)",32.6,26490,22.3
"better",22.8,30.0,"Swan Hill (RC)",32.6,26610,16.9
"better",16.2,22.6,"Towong (S)",32.6,26670,11.3
"none",24.7,31.7,"Wangaratta (RC)",32.6,26700,18.8
"none",28.2,35.1,"Warrnambool (C)",32.6,26730,22.1
"better",20.5,26.4,"Wellington (S)",32.6,26810,15.6
"better",21.7,30.0,"West Wimmera (S)",32.6,26890,15.2
"none",41.5,49.9,"Whitehorse (C)",32.6,26980,33.4
"none",29.0,35.8,"Whittlesea (C)",32.6,27070,23.1
"none",29.6,37.0,"Wodonga (RC)",32.6,27170,23.1
"none",32.8,40.3,"Wyndham (C)",32.6,27260,26.1
"worse",43.4,51.6,"Yarra (C)",32.6,27350,35.6
"none",27.2,34.1,"Yarra Ranges (S)",32.6,27450,21.3
"none",24.4,32.9,"Yarriambiack (S)",32.6,27630,17.5
