numeric, lga_name06, lga_code06
46.1,Moyne (S),25490
46.3,Alpine (S),20110
45.2,Ararat (RC),20260
49.2,Ballarat (C),20570
56.6,Banyule (C),20660
59.4,Bass Coast (S),20740
45,Baw Baw (S),20830
71.6,Bayside (C),20910
44.3,Benalla (RC),21010
65.4,Boroondara (C),21110
36.5,Brimbank (C),21180
49.9,Buloke (S),21270
35.4,Campaspe (S),21370
40.5,Cardinia (S),21450
41.9,Casey (C),21610
47,Central Goldfields (S),21670
46.9,Colac-Otway (S),21750
41.9,Corangamite (S),21830
47.9,Darebin (C),21890
55.6,East Gippsland (S),22110
42,Frankston (C),22170
40.5,Gannawarra (S),22250
58.8,Glen Eira (C),22310
46,Glenelg (S),22410
41.7,Golden Plains (S),22490
46.4,Greater Bendigo (C),22620
37,Greater Dandenong (C),22670
52.2,Greater Geelong (C),22750
44.6,Greater Shepparton (C),22830
44.1,Hepburn (S),22910
52.7,Hindmarsh (S),22980
50,Hobsons Bay (C),23110
44.6,Horsham (RC),23190
40.7,Hume (C),23270
51.1,Indigo (S),23350
63.9,Kingston (C),23430
49.6,Knox (C),23670
48,Latrobe (C),23810
37.8,Loddon (S),23940
47.2,Macedon Ranges (S),24130
49.7,Manningham (C),24210
55.8,Mansfield (S),24250
55.7,Maribyrnong (C),24330
55.8,Maroondah (C),24410
66.5,Melbourne (C),24600
43.4,Melton (S),24650
42.7,Mildura (RC),24780
37.3,Mitchell (S),24850
40.7,Moira (S),24900
53.3,Monash (C),24970
55,Moonee Valley (C),25060
48.8,Moorabool (S),25150
46,Moreland (C),25250
60.4,Mornington Peninsula (S),25340
50.3,Mount Alexander (S),25430
53.1,Murrindindi (S),25620
56.2,Nillumbik (S),25710
48.5,Northern Grampians (S),25810
76.2,Port Phillip (C),25900
35.3,Pyrenees (S),25990
79.3,Queenscliffe (B),26080
45.2,South Gippsland (S),26170
41.2,Southern Grampians (S),26260
63.2,Stonnington (C),26350
45.5,Strathbogie (S),26430
74.7,Surf Coast (S),26490
37.3,Swan Hill (RC),26610
47.7,Towong (S),26670
48,Wangaratta (RC),26700
50.5,Warrnambool (C),26730
43.1,Wellington (S),26810
39.7,West Wimmera (S),26890
48.5,Whitehorse (C),26980
31.4,Whittlesea (C),27070
52.6,Wodonga (RC),27170
52.6,Wyndham (C),27260
67.7,Yarra (C),27350
50.9,Yarra Ranges (S),27450
44.5,Yarriambiack (S),27630
